,Current Status,Gender,Education,Occupation,Account type,Have minimum balance?,Have multiple accounts?,Own an active loan?,Use internet or mobile banking?,Has an active credit Card?,Ever defaulted on a loan?,Satisfied with bank service?,Any transaction in the past 24 months,Age,Opening balance,Current balance,Dist of residence from the bank,Quarterly activity rate,Months since last transaction
0,Active,Male,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,No,Yes,23,2000,2000.0,23.7912,2.0,3.0
1,Active,Male,Post Graduate,Salaried,Savings,Yes,Yes,Yes,Yes,No,No,Yes,Yes,40,5947,15000.0,10.0,30.0,2.0
2,Dormant,Male,Post Graduate,Salaried,Salaried,Yes,Yes,Yes,No,No,Yes,No,No,32,500,623.0,23.7912,7.0,5.4478
3,Active,Male,Graduate,Student,Savings,Yes,Yes,No,Yes,Yes,No,Yes,Yes,23,0,1000.0,20.0,5.0,3.0
4,Active,Female,Doctrate,Business,Savings,No,Yes,Yes,Yes,Yes,No,Yes,Yes,40,3000,1000.0,1.0,5.0,5.4478
5,Inactive,Female,Graduate,Other,Senior Citizen Account,Yes,Yes,No,No,No,No,No,Yes,54,500,10000.0,4.0,1.0,5.4478
6,Dormant,Female,Graduate,Salaried,Savings,Yes,Yes,No,Yes,No,No,Yes,No,35,3000,3000.0,5.0,1.0,5.4478
7,Dormant,Female,12th,Not working,Savings,Yes,No,No,No,No,No,No,No,54,500,2000.0,4.0,1.0,5.4478
8,Dormant,Male,Graduate,Other,Savings,Yes,Yes,No,Yes,No,No,Need Improvement,No,35,1000,1000.0,2.0,1.0,5.4478
9,Inactive,Male,12th,Salaried,Pension,Yes,Yes,No,No,No,No,Need Improvement,Yes,54,500,27239.0,23.7912,2.0,5.4478
10,Active,Male,Post Graduate,Salaried,Salaried,Yes,Yes,No,Yes,No,No,Yes,Yes,23,0,4000.0,20.0,12.0,1.0
11,Dormant,Female,10th,Other,No Frill ACcount,No,Yes,Yes,No,No,Yes,Yes,No,32,5000,0.0,23.7912,5.0,5.4478
12,Active,Male,Graduate,Student,Savings,No,Yes,No,Yes,No,No,Yes,Yes,22,1000,-51.0,7.0,0.0,5.4478
13,Dormant,Male,Graduate,Student,Savings,Yes,Yes,No,No,No,No,Need Improvement,No,22,0,0.0,5.0,0.0,1.0
14,Active,Male,Graduate,Student,Savings,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21,5000,4000.0,5.0,0.0,1.0
15,Active,Male,Graduate,Student,Savings,No,Yes,No,No,No,Yes,No,No,23,0,0.0,4.0,0.0,3.0
16,Active,Male,Graduate,Business,Savings,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,25,3000,10000.0,23.7912,5.0,5.4478
17,Active,Male,Graduate,Student,Savings,No,No,Yes,Yes,No,Yes,No,No,22,700,700.0,5.0,0.0,1.0
18,Active,Male,Doctrate,Business,Savings,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,25,3000,1000.0,23.7912,3.0,5.4478
